DateTime,PriceTU,PriceFV,PriceTY,PriceUS,PriceUB,OptWeightTU,OptWeightFV,OptWeightTY,OptWeightUS,OptWeightUB,PortNotional,dfPositionTU,dfPositionFV,dfPositionTY,dfPositionUS,dfPositionUB,PortPrice,InitMargin,DailyPnL,CumNetPnL
2017-02-26 22:00:00,108.6171875,118.3984375,125.484375,153.0625,163.09375,-0.103477346,0.463391797,-0.306984379,-0.066420701,0.059725778,90197.22709873678,-4.666684838368281,41.79665514970073,-27.689139748427678,-5.990963052154293,5.387099561914737,4.67808604792969,0.0,0.0,136895.2468076923
2017-02-26 23:00:00,108.609375,118.40625,125.5,153.09375,163.125,-0.04638867,0.476444326,-0.353064812,-0.06169148,0.062410712,85979.90685146769,-1.9942467627817368,40.964638769390305,-30.35647964829095,-5.3042277039291825,5.366067204293777,7.802274992406242,0.0,0.0,136895.2468076923
2017-02-27 00:00:00,108.609375,118.390625,125.484375,152.96875,162.96875,-0.028666492,0.489021232,-0.436361648,0.039618428,0.0063322,99132.20250052688,-1.4208862449618669,48.47775179768114,-43.25749125299963,3.927462027248544,0.6277249326738363,7.117842968812493,0.0,0.0,136895.2468076923
2017-02-27 01:00:00,108.609375,118.390625,125.46875,153.0,163.03125,0.018842638,0.473155931,-0.455046496,0.049597513,0.003357422,96413.53699889264,0.9083426879848702,45.61863685971399,-43.872642178312454,4.781871654678559,0.32370093021789614,9.10538267951562,0.0,0.0,136895.2468076923
2017-02-27 02:00:00,108.609375,118.3984375,125.484375,153.0,163.03125,0.082380457,0.349364936,-0.420471863,0.112185302,-0.035597442,82288.97348753849,3.3895016209821525,28.74888195597958,-34.60019798666292,9.231613341969497,-2.929276960962189,8.90975929296875,0.0,0.0,136895.2468076923
2017-02-27 03:00:00,108.609375,118.375,125.453125,153.03125,163.0,-0.170897502,0.391398994,-0.133246633,-0.185806692,0.118650179,71890.76484654116,-6.142976064571649,28.137973038826775,-9.579202359596371,-13.357785201485699,8.529852117489016,1.9603273697656247,0.0,0.0,136895.2468076923
2017-02-27 04:00:00,108.609375,118.390625,125.453125,153.0625,163.09375,-0.079075698,0.41399989,-0.210625417,-0.175073223,0.121225773,68081.8422476655,-2.691809598430019,28.185875201530866,-14.339766413542762,-11.919307550076363,8.253273953737308,6.97574754226562,0.0,0.0,136895.2468076923
2017-02-27 05:00:00,108.59375,118.3671875,125.4375,153.09375,163.15625,-0.115603958,0.403402963,-0.176323999,-0.182688634,0.121980445,69065.55460592543,-3.992125736955055,27.861249369268617,-12.17791478126964,-12.617491827408923,8.424647085002583,5.0115491389453135,0.0,0.0,136895.2468076923
2017-02-27 06:00:00,108.6015625,118.375,125.46875,153.15625,163.28125,-0.122036866,0.452044354,-0.277212383,-0.08211641,0.066589986,88168.7983335774,-5.379921913807904,39.85620748565827,-24.44148269229742,-7.240105193167359,5.871159046669742,3.7721196275156292,0.0,0.0,136895.2468076923
2017-02-27 07:00:00,108.6015625,118.375,125.46875,153.125,163.25,-0.086707409,0.492465715,-0.374222759,-0.01389652,0.032707597,103167.8962017912,-4.472710485819128,50.80665176806089,-38.607774756859925,-1.4336747329261155,3.374373972306017,5.1374177073671925,0.0,0.0,136895.2468076923
