,open_ts_time,open_tf_time,wind_ts_p,wind_tf_p,close_ts_time,close_tf_time,unwind_ts_p,unwind_tf_p,diff_ts,diff_tf,sum
17,2022-10-11 10:03:03,2022-10-11 10:03:01,-101.185,101.635,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.010000000000005116,0.0,0.010000000000005116
18,2022-10-11 10:04:00,2022-10-11 10:04:00,-101.185,101.64,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
19,2022-10-11 10:05:00,2022-10-11 10:05:04,-101.185,101.63,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.010000000000005116,0.005000000000009663,0.01500000000001478
20,2022-10-11 10:06:01,2022-10-11 10:06:03,-101.18,101.63,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.005000000000009663,0.005000000000009663,0.010000000000019327
21,2022-10-11 10:07:00,2022-10-11 10:07:05,-101.18,101.625,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.005000000000009663,0.010000000000005116,0.01500000000001478
22,2022-10-11 10:08:00,2022-10-11 10:08:00,-101.18,101.63,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.005000000000009663,0.005000000000009663,0.010000000000019327
23,2022-10-11 10:09:00,2022-10-11 10:09:00,-101.18,101.635,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.005000000000009663,0.0,0.005000000000009663
24,2022-10-11 10:10:00,2022-10-11 10:10:01,-101.175,101.6275,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.0,0.00750000000000739,0.00750000000000739
25,2022-10-11 10:17:04,2022-10-11 10:17:00,101.175,-101.635,2022-10-11 10:32:03,2022-10-11 10:32:03,-101.18,101.63,0.005000000000009663,0.005000000000009663,0.010000000000019327
26,2022-10-11 10:18:00,2022-10-11 10:18:07,101.175,-101.635,2022-10-11 10:32:03,2022-10-11 10:32:03,-101.18,101.63,0.005000000000009663,0.005000000000009663,0.010000000000019327
27,2022-10-11 10:22:01,2022-10-11 10:22:00,-101.18,101.635,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.005000000000009663,0.0,0.005000000000009663
28,2022-10-11 10:23:00,2022-10-11 10:23:06,-101.18,101.63,2022-10-11 10:32:03,2022-10-11 10:32:03,101.175,-101.635,0.005000000000009663,0.005000000000009663,0.010000000000019327
29,2022-10-11 10:27:04,2022-10-11 10:27:00,101.18,-101.64,2022-10-11 10:32:03,2022-10-11 10:32:03,-101.18,101.63,0.0,0.010000000000005116,0.010000000000005116
30,2022-10-11 10:28:06,2022-10-11 10:28:09,101.18,-101.64,2022-10-11 10:32:03,2022-10-11 10:32:03,-101.18,101.63,0.0,0.010000000000005116,0.010000000000005116
31,2022-10-11 10:29:05,2022-10-11 10:29:03,101.18,-101.64,2022-10-11 10:32:03,2022-10-11 10:32:03,-101.18,101.63,0.0,0.010000000000005116,0.010000000000005116
32,2022-10-11 10:30:02,2022-10-11 10:30:03,101.18,-101.64,2022-10-11 10:32:03,2022-10-11 10:32:03,-101.18,101.63,0.0,0.010000000000005116,0.010000000000005116
33,2022-10-11 10:36:00,2022-10-11 10:36:00,-101.175,101.615,2022-10-11 10:49:03,2022-10-11 10:49:00,101.165,-101.605,0.009999999999990905,-0.009999999999990905,0.0
34,2022-10-11 10:37:00,2022-10-11 10:37:00,-101.175,101.61,2022-10-11 10:49:03,2022-10-11 10:49:00,101.165,-101.605,0.009999999999990905,-0.0049999999999954525,0.0049999999999954525
35,2022-10-11 10:38:00,2022-10-11 10:38:01,-101.175,101.615,2022-10-11 10:49:03,2022-10-11 10:49:00,101.165,-101.605,0.009999999999990905,-0.009999999999990905,0.0
36,2022-10-11 10:39:01,2022-10-11 10:39:00,-101.17,101.605,2022-10-11 10:49:03,2022-10-11 10:49:00,101.165,-101.605,0.0049999999999954525,0.0,0.0049999999999954525
37,2022-10-11 10:40:00,2022-10-11 10:40:01,-101.17,101.61,2022-10-11 10:49:03,2022-10-11 10:49:00,101.165,-101.605,0.0049999999999954525,-0.0049999999999954525,0.0
38,2022-10-11 10:41:03,2022-10-11 10:41:00,-101.17,101.605,2022-10-11 10:49:03,2022-10-11 10:49:00,101.165,-101.605,0.0049999999999954525,0.0,0.0049999999999954525
39,2022-10-11 10:42:01,2022-10-11 10:42:00,-101.175,101.615,2022-10-11 10:49:03,2022-10-11 10:49:00,101.165,-101.605,0.009999999999990905,-0.009999999999990905,0.0
40,2022-10-11 10:43:01,2022-10-11 10:43:00,-101.175,101.615,2022-10-11 10:49:03,2022-10-11 10:49:00,101.165,-101.605,0.009999999999990905,-0.009999999999990905,0.0
41,2022-10-11 10:44:01,2022-10-11 10:44:00,-101.175,101.615,2022-10-11 10:49:03,2022-10-11 10:49:00,101.165,-101.605,0.009999999999990905,-0.009999999999990905,0.0
42,2022-10-11 10:47:01,2022-10-11 10:47:00,101.17,-101.615,2022-10-11 10:49:03,2022-10-11 10:49:00,-101.17,101.6,0.0,0.015000000000000568,0.015000000000000568
43,2022-10-11 10:51:03,2022-10-11 10:51:01,-101.17,101.6,2022-10-11 10:56:04,2022-10-11 10:56:03,101.175,-101.62,-0.0049999999999954525,0.020000000000010232,0.01500000000001478
44,2022-10-11 10:52:00,2022-10-11 10:52:01,-101.17,101.6,2022-10-11 10:56:04,2022-10-11 10:56:03,101.175,-101.62,-0.0049999999999954525,0.020000000000010232,0.01500000000001478
45,2022-10-11 10:53:01,2022-10-11 10:53:01,-101.175,101.605,2022-10-11 10:56:04,2022-10-11 10:56:03,101.175,-101.62,0.0,0.015000000000000568,0.015000000000000568
46,2022-10-11 10:54:00,2022-10-11 10:54:00,-101.175,101.61,2022-10-11 10:56:04,2022-10-11 10:56:03,101.175,-101.62,0.0,0.010000000000005116,0.010000000000005116
47,2022-10-11 10:57:02,2022-10-11 10:57:00,101.17,-101.615,2022-10-11 11:12:01,2022-10-11 11:12:00,-101.18,101.62,0.010000000000005116,-0.005000000000009663,0.0049999999999954525
48,2022-10-11 10:58:00,2022-10-11 10:58:01,101.17,-101.615,2022-10-11 11:12:01,2022-10-11 11:12:00,-101.18,101.62,0.010000000000005116,-0.005000000000009663,0.0049999999999954525
49,2022-10-11 10:59:00,2022-10-11 10:59:00,101.17,-101.615,2022-10-11 11:12:01,2022-10-11 11:12:00,-101.18,101.62,0.010000000000005116,-0.005000000000009663,0.0049999999999954525
50,2022-10-11 11:00:01,2022-10-11 11:00:03,101.17,-101.62,2022-10-11 11:12:01,2022-10-11 11:12:00,-101.18,101.62,0.010000000000005116,0.0,0.010000000000005116
51,2022-10-11 11:01:05,2022-10-11 11:01:01,101.17,-101.625,2022-10-11 11:12:01,2022-10-11 11:12:00,-101.18,101.62,0.010000000000005116,0.0049999999999954525,0.015000000000000568
52,2022-10-11 11:02:01,2022-10-11 11:02:00,101.17,-101.625,2022-10-11 11:12:01,2022-10-11 11:12:00,-101.18,101.62,0.010000000000005116,0.0049999999999954525,0.015000000000000568
53,2022-10-11 11:03:00,2022-10-11 11:03:06,101.17,-101.625,2022-10-11 11:12:01,2022-10-11 11:12:00,-101.18,101.62,0.010000000000005116,0.0049999999999954525,0.015000000000000568
