,open_tf_time,open_t_time,wind_tf_p,wind_t_p,close_tf_time,close_t_time,unwind_tf_p,unwind_t_p,diff_tf,diff_t,sum
24,2022-10-10 10:17:00,2022-10-10 10:17:01,-101.585,100.79,2022-10-10 10:20:00,2022-10-10 10:20:00,101.58,-100.805,0.0049999999999954525,0.015000000000000568,0.01999999999999602
25,2022-10-10 10:18:00,2022-10-10 10:18:01,-101.585,100.795,2022-10-10 10:20:00,2022-10-10 10:20:00,101.58,-100.805,0.0049999999999954525,0.010000000000005116,0.015000000000000568
26,2022-10-10 10:21:00,2022-10-10 10:21:00,101.58,-100.8,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,0.015000000000000568,-0.010000000000005116,0.0049999999999954525
27,2022-10-10 10:22:00,2022-10-10 10:22:00,101.59,-100.81,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,0.0049999999999954525,0.0,0.0049999999999954525
28,2022-10-10 10:23:00,2022-10-10 10:23:00,101.585,-100.80250000000001,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,0.010000000000005116,-0.007499999999993179,0.002500000000011937
29,2022-10-10 10:24:00,2022-10-10 10:24:00,101.59,-100.81,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,0.0049999999999954525,0.0,0.0049999999999954525
30,2022-10-10 10:25:01,2022-10-10 10:25:00,101.595,-100.815,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,0.0,0.0049999999999954525,0.0049999999999954525
31,2022-10-10 10:29:09,2022-10-10 10:29:01,-101.6,100.805,2022-10-10 10:50:11,2022-10-10 10:50:00,101.59,-100.815,0.009999999999990905,0.009999999999990905,0.01999999999998181
32,2022-10-10 10:30:01,2022-10-10 10:30:00,-101.605,100.81,2022-10-10 10:50:11,2022-10-10 10:50:00,101.59,-100.815,0.015000000000000568,0.0049999999999954525,0.01999999999999602
33,2022-10-10 10:31:00,2022-10-10 10:31:00,-101.615,100.825,2022-10-10 10:50:11,2022-10-10 10:50:00,101.59,-100.815,0.024999999999991473,-0.010000000000005116,0.014999999999986358
34,2022-10-10 10:34:00,2022-10-10 10:34:00,101.6,-100.83,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
35,2022-10-10 10:35:00,2022-10-10 10:35:00,101.6,-100.83,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
36,2022-10-10 10:36:00,2022-10-10 10:36:00,101.6,-100.83,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
37,2022-10-10 10:37:00,2022-10-10 10:37:00,101.6,-100.83,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
38,2022-10-10 10:38:08,2022-10-10 10:38:01,101.6,-100.83,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
39,2022-10-10 10:39:00,2022-10-10 10:39:02,101.595,-100.82,2022-10-10 10:50:11,2022-10-10 10:50:00,-101.595,100.81,0.0,0.009999999999990905,0.009999999999990905
