,time,last,ask,bid,volume,amt,ask1,bid1,asize1,bsize1,ts_date,ts_lag
6789,2022-10-14 11:15:35.600,101.23,101.23,101.225,30725,31094906050,,,26,41,2022-10-14 11:15:35.600,0
6790,2022-10-14 11:15:37.600,101.225,101.23,101.225,30726,31095918300,,,26,40,2022-10-14 11:15:37.600,2
6791,2022-10-14 11:15:38.600,101.225,101.23,101.225,30726,31095918300,,,26,39,2022-10-14 11:15:38.600,1
6792,2022-10-14 11:15:42.100,101.225,101.23,101.225,30726,31095918300,,,26,40,2022-10-14 11:15:42.100,3
6793,2022-10-14 11:15:43.600,101.225,101.23,101.225,30726,31095918300,,,20,40,2022-10-14 11:15:43.600,1
6794,2022-10-14 11:15:45.600,101.225,101.23,101.225,30726,31095918300,,,20,39,2022-10-14 11:15:45.600,2
6795,2022-10-14 11:15:46.100,101.225,101.23,101.225,30726,31095918300,,,21,39,2022-10-14 11:15:46.100,0
6796,2022-10-14 11:15:46.600,101.225,101.23,101.225,30726,31095918300,,,22,39,2022-10-14 11:15:46.600,0
6797,2022-10-14 11:15:48.100,101.225,101.23,101.225,30726,31095918300,,,20,39,2022-10-14 11:15:48.100,1
6798,2022-10-14 11:15:49.100,101.225,101.23,101.225,30726,31095918300,,,20,38,2022-10-14 11:15:49.100,1
6799,2022-10-14 11:15:49.600,101.225,101.23,101.225,30726,31095918300,,,20,37,2022-10-14 11:15:49.600,0
6800,2022-10-14 11:15:50.100,101.225,101.23,101.225,30726,31095918300,,,21,37,2022-10-14 11:15:50.100,0
6801,2022-10-14 11:15:55.100,101.225,101.23,101.225,30728,31097942800,,,21,35,2022-10-14 11:15:55.100,5
6802,2022-10-14 11:15:55.600,101.225,101.23,101.225,30728,31097942800,,,21,33,2022-10-14 11:15:55.600,0
6803,2022-10-14 11:15:56.100,101.23,101.23,101.225,30729,31098955100,,,20,33,2022-10-14 11:15:56.100,0
6804,2022-10-14 11:15:56.600,101.23,101.23,101.225,30729,31098955100,,,20,42,2022-10-14 11:15:56.600,0
6805,2022-10-14 11:15:58.100,101.23,101.23,101.225,30729,31098955100,,,21,42,2022-10-14 11:15:58.100,1
6806,2022-10-14 11:15:58.600,101.225,101.23,101.225,30732,31101991850,,,22,39,2022-10-14 11:15:58.600,0
6807,2022-10-14 11:15:59.100,101.225,101.23,101.225,30732,31101991850,,,25,39,2022-10-14 11:15:59.100,0
